S.No;Project Title;Student;Organization;Website URL
816;Dimensionality Reduction for Studying Diffuse Circumgalactic Medium;Jakub Rybak;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
817;Real Time Collaborative Pathology;Vedant Nandoskar;caMicroscope;http://camicroscope.github.io
818;Newman Request;Raghav Bhatia;Postman;https://www.postman.com/
819;TypeScript Migration;Priyank Patel;Zulip;https://zulip.com
820;Analyzing stimulus prediction capabilities of neurons: predictive information estimation methods;Shiven Tripathi;INCF;http://incf.org
821;Custom Abundance Widget;Yizheng Yu;TARDIS SN;https://tardis-sn.github.io/tardis/
822;Benchmarking, Python bindings and Migrating to CTest for Casbin-CPP;Yash Pandey;Casbin;https://casbin.org/
823;First steps towards a new GRASS GIS Single-Window GUI;Linda Kladivova;OSGeo - Open Source Geospatial Foundation;https://www.osgeo.org/
824;Develop a Golang-based framework to enhance Knative’s functionalities;Namit Chandwani;JBoss Community;http://www.jboss.org/
825;Simplified external port forwarding and automatic NAT traversal;giulio;Qubes OS;https://www.qubes-os.org
826;Boost:uBlas : Finalizing and improving the subtensor type;Kannav Krishan Mehta;Boost C++ Libraries;https://www.boost.org/
827;Enhancing the Plotting Functionality in MCnet/Rivet;Simon Thor;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
828;Non-blocking multi-thread IO_CACHE;Vladislav Kakurin;MariaDB Foundation;https://mariadb.org
829;Making pvlib python a one-stop source for solar resource data;Adam R. Jensen;NumFOCUS;http://numfocus.org/
830;sch-webapps: aggregator for web-based educational material;Artemis Georgopoulou;GFOSS - Open Technology Alliance;http://www.gfoss.eu
831;ImageLab - extend the functionality;Sahan Dissanayaka;SCoRe Lab;http://www.scorelab.org/
832;Nemo Optimization by WAN Hierarchical Aggregation and Fidelity Control;Ji Ho Kang;The Apache Software Foundation;https://www.apache.org
833;New database search backend;Aldán Creo;Django Software Foundation;https://www.djangoproject.com/
834;Upgrade WebdriverIO to the latest version 7 for all repositories;Sahil Grewal;Wikimedia Foundation;http://wikimediafoundation.org/
835;Ready to use Models in mlpack;Aakash Kaushik;mlpack;https://www.mlpack.org/
836;Improving Google Search Result On Buddhist Entities.;Paritosh Singh;Project WikiLoop;https://meta.wikimedia.org/wiki/WikiLoop
837;Sugarizer Story Activity;Saurabh-Gupta;Sugar Labs;http://sugarlabs.org/
838;Add IDS validation with BCF output to IfcOpenShell;Artur Tomczak;BRL-CAD;https://opencax.github.io
839;Computer vision for detecting elements of a vehicle’s environment with RoboComp;Garv Tambi;RoboComp;https://robocomp.org
840;Microfarm For Everybody;Prashant Dodiya;coala;https://coala.io
841;mne-python intracranial electrode localization toolbox;alexrockhill;Python Software Foundation;https://www.python.org/
842;Refining Code Critics;Alejandra Cossío Ch.;Pharo Consortium;https://pharo.org/
843;Add support for error terms with explicit constants to AsymptoticRing;Thomas Hagelmayer;SageMath;https://www.sagemath.org/
844;BibTeX Plugin Project;Abdallah Ahmed;Joplin;https://joplinapp.org/
845;Cross-Slide Coordinated Viewing;Hemansh Khaneja;caMicroscope;http://camicroscope.github.io
846;GSoC Proposal - Causal and counterfactual methods for fairness in machine learning;Archana Warrier;The Julia Language;https://julialang.org
847;DataFrame;Balaji G;Pharo Consortium;https://pharo.org/
848;Improving workflow with autocomplete feature;Gabriela Bittencourt;Purr Data;https://www.purrdata.net/
849;Auto-Arrangement of Nodes in GraphEdit, VisualScript and VisualShaders;Umang Kalra;Godot Engine;https://godotengine.org
850;Firmware and other file handling in PAPPL;Bhavna Kosta;The Linux Foundation;http://www.linuxfoundation.org/
851;Application Proposal for Apache Clerezza;Yusuf Karadag;The Apache Software Foundation;https://www.apache.org
852;Static analysis for unreachable functions;Wenzhang Yang;GNU Compiler Collection (GCC);https://gcc.gnu.org/
853;User Centric Knowledge Engineering and Data Visualization;Karan Kharecha;DBpedia;https://www.dbpedia.org/
854;Factor analysis based on higher-order moments;Guanglin Huang;The R Project for Statistical Computing;https://www.r-project.org/
855;Inference Latency Estimator with Ensemble of Regression Models;Jiyeon Lee;MediaPipe;https://mediapipe.dev
856;Detect Unknown Licenses and Indirect License references in ScanCode;Akanksha Garg;AboutCode;https://www.aboutcode.org
857;Make backend code typed;Hardik Katehara;Oppia Foundation;https://github.com/oppia/oppia
858;Interactive viewer for systems-biology variant interpretation (Server-side);Rishabh kohale;Open Genome Informatics;http://gmod.org/wiki/GSoC
859;Extending Time-Series Models;Meenal Jhajharia;NumFOCUS;http://numfocus.org/
860;Adding Panoptic Segmentation to the TensorFlow Model Garden;Srihari Humbarwadi;TensorFlow;https://www.tensorflow.org/
861;Automatic Identification And Classification of Contract Data Types with NLP;EasonC13;Accord Project;https://www.accordproject.org/
862;Re: Develop a test framework for checking FreeType's rendering output;Sarthak Bhardwaj-1;FreeType;https://www.freetype.org/
863;Refactoring Testbench and Automated Testing;Ruturaj Mohite;CircuitVerse.org;https://circuitverse.org/
864;Evolving bdchecks: a biodiversity data quality checks framework;Martynas Jočys;The R Project for Statistical Computing;https://www.r-project.org/
865;Advanced search features for Software Heritage Archive;Kumar Shivendu;Software Heritage;https://www.softwareheritage.org
866;Improving and Expanding Functionalities in Control Module;Akshansh Bhatt;SymPy;http://sympy.org
867;Proposal by Juan Elias for OpenLex PyAr;Juan Elias Rodriguez;Python Software Foundation;https://www.python.org/
868;Enhanced authentication for APISIX Dashboard;Zeping Bai;The Apache Software Foundation;https://www.apache.org
869;Internationalization(i18n) and Deployment of P5.js Website;Sanjay Singh Rajpoot;Processing Foundation;http://processingfoundation.org
870;Apache OODT - Improving OPSUI React.js UI with Advanced Functionalities;Pavindu Lakshan;The Apache Software Foundation;https://www.apache.org
871;Improving User experience in enviroCar Android;Sai Karthikeya;52°North GmbH;https://52north.org/
872;Blender - UV editor improvements;Siddhartha Jejurkar;Blender Foundation;http://www.blender.org
873;pymc3.dp: Bayesian Stati-sticks for Summer 2021;Larry Dong;NumFOCUS;http://numfocus.org/
874;Create Custom Styles in SDC Gallery;Fikri Yurcel Milano;Google FHIR SDK;https://github.com/google/android-fhir
875;Pocket Paint for Android: Refactoring and Rewriting Production Code and Tests to Kotlin;Saarthak Seth;International Catrobat Association;https://www.catrobat.org
876;Signing Template and Signing Contracts;Sanket Shevkar;Accord Project;https://www.accordproject.org/
877;Activism Through Storytelling with Code;Niki Ito;Processing Foundation;http://processingfoundation.org
878;Develop an Android application for newborn clinical decision support;BHAVESH SHARMA;LibreHealth;https://librehealth.io
879;Automatic Realization of AI-Based Electromagnetic Models;Utsav Akhaury;gprMax;http://www.gprmax.com
880;A fast finite element interpolator in Gridap.jl;Balaje;NumFOCUS;http://numfocus.org/
881;The REST of Administration;Bartłomiej Rasztabiga;OpenMRS;https://openmrs.org
882;VISIT THE WORLD HOME EDITION;Ainhoa Maestro;Liquid Galaxy project;https://www.liquidgalaxy.eu/
883;Improve Exploration save flow: Syncing edits in the background;Aryaman Gupta;Oppia Foundation;https://github.com/oppia/oppia
884;A Lua library for Freechains-P2P;Micah Kendall;LabLua;http://www.lua.inf.puc-rio.br
885;Support call hierarchy in Haskell Language Server;Lei Zhu;Haskell.org;http://haskell.org
886;Learning Bricks: A Novel Blocks Framework for Visual Programming Languages;Kumar Saurabh Raj;Sugar Labs;http://sugarlabs.org/
887;Development of AnkiDroid project;Shridhar Goel;AnkiDroid;https://docs.ankidroid.org/
888;Lua hook points;Donald Lee;FRRouting;https://frrouting.org/
889;Awesome Demo Game Project - Sisters of the Faldroid;Shriyanshu Kukreti;International Catrobat Association;https://www.catrobat.org
890;Matrix state of the art;GUIFO FODJO A Yvan;Pharo Consortium;https://pharo.org/
891;Advanced Audio Filters;Metehan Arslan;VideoLAN;https://www.videolan.org/
892;Add logging support to Simulation Execution Manager (SEM);Akshit Patel;The ns-3 Network Simulator Project;http://www.nsnam.org
893;A morphological analyzer for Bagvalal;Daniil Ignatiev;Apertium;http://wiki.apertium.org
894;Apache James - Implement Thread support for JMAP;Hồng Quân Trần;The Apache Software Foundation;https://www.apache.org
895;Example Zoo;Roshan Swain;mlpack;https://www.mlpack.org/
896;Enable CUDA builds on CI;Hang Yan;Point Cloud Library;https://pointclouds.org/
897;Implementing Linux support in Drakvuf-Sandbox;Manorit Chawdhry;The Honeynet Project;https://honeynet.org
898;Unipertium;Daniel Swanson;Apertium;http://wiki.apertium.org
899;PEcAn in CRAN;Shashank-Singh;PEcAn Project;http://pecanproject.github.io/
900;Improve pdf support in JabRef;Benedikt Tutzer;JabRef e.V.;https://www.jabref.org/
901;Adding Alt Text;Katie Liu;Processing Foundation;http://processingfoundation.org
902;SBML Simulator in Rust;Pranav Ballaney;National Resource for Network Biology (NRNB);https://nrnb.org/gsoc.html
903;Logging, Unit Test Infrastructure and Precooked Sources for PRMON;Anubhab Das;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
904;Service Market;Shyam;SCoRe Lab;http://www.scorelab.org/
905;VLC Qt interface redesign;Adam Leung;VideoLAN;https://www.videolan.org/
906;Project Starfix : Open anything anywhere in any IDE/editor;Fahad Israr;JBoss Community;http://www.jboss.org/
907;Port SAST and Secret Detection rails platform code to GitLab CE project;Cyrine Gamoudi;GitLab;https://gitlab.com
908;Journals Open Review Workflow and Integration;Apoorva;Cuneiform Digital Library Initiative (CDLI);https://cdli.ucla.edu
909;Libadwaita animation API;Manuel Genovés;GNOME Foundation;https://gnome.org
910;Convert Matlab ML examples to Python / JAX;Ming Liang Ang;TensorFlow;https://www.tensorflow.org/
911;A Solvation Module for MDAnalysis;orion cohen;MDAnalysis;https://www.mdanalysis.org
912;Direct Objective Function for Anomaly Detection;Yurii Halychanskyi;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
913;Add/Improve tests in Spoon;Rohitesh Jain;CASTOR;https://www.castor.kth.se/
914;Pocket Paint for Android: Additional brush options;FromG;International Catrobat Association;https://www.catrobat.org
915;Patch Security Vulnerabilities Identified by NCSU;Nsereko Joshua;OpenMRS;https://openmrs.org
916;Adding to p5.js Friendly Error System;Shantanu Kaushik;Processing Foundation;http://processingfoundation.org
917;Reference Image Improvement;Sachin Jindal;KDE Community;https://www.kde.org
918;[Gridap] Visualizing PDE approximations in Julia with Gridap.jl and Makie.jl;Pau Riera i Portillo;NumFOCUS;http://numfocus.org/
919;EOS Icons React and Vue library;Vinayak Sharma;Python Software Foundation;https://www.python.org/
920;Add Examples and Fix Bugs in Swift Processing;Masood Kamandy;Processing Foundation;http://processingfoundation.org
921;MusicBlocks-v4 palettes and Artboard Canvas;Joykirat Singh;Sugar Labs;http://sugarlabs.org/
922;Enhancing ABioTrans Plus  using Gene Expression Omnibus database and adding analysis report;Javed Ali;National Resource for Network Biology (NRNB);https://nrnb.org/gsoc.html
923;Template Plugin;Nishant Mittal;Joplin;https://joplinapp.org/
924;Casbin-Server, Rocket-Authz, JSON-Adapter;Samarpan Dutta;Casbin;https://casbin.org/
925;Proofread Oracle DML SQL Definitions for the ShardingSphere Parser;Thanoshan M.V.;The Apache Software Foundation;https://www.apache.org
926;Improvements to the directlabels package;Anirban Chetia;The R Project for Statistical Computing;https://www.r-project.org/
927;MediaPipe Holistic in Unity;Pulkit Midha;MediaPipe;https://mediapipe.dev
928;CernVM-FS preload capability;Rohit Topi;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
929;Adding ICOS and GEDI data streams to PEcAn;Ayush Prasad;PEcAn Project;http://pecanproject.github.io/
930;WebStatus Developer Tooling;Shivam Agarwal;Chromium;https://www.chromium.org/
931;Token Authenticated Registration;Callum Brown;Matrix.org;https://matrix.org/
932;Gitmate for coala;Sanchit (pilgrim2308);coala;https://coala.io
933;Frontend reimplementation using react;ranjit shah;Digital Impact Alliance (DIAL) at UN Foundation;https://www.digitalimpactalliance.org/
934;GUI for AXIOM Recorder;anuejn;apertus° Association;https://www.apertus.org
935;Bring up CV32E40P AI accelerator on FPGA;Veronia Iskandar;Free and Open Source Silicon Foundation;https://www.fossi-foundation.org
936;Improved UI design and Multilingual Support;Utkarsh Shendge;The Palisadoes Foundation;http://www.palisadoes.org/
937;Graphical User Interface for OpenAI Gym;Özgür Kara;Department of Biomedical Informatics (BMI), Emory University School of Medicine;https://med.emory.edu/departments/biomedical-informatics/
938;Integrating 3D scene builder as WPS services within MapMint administration User Interface;Sandeep Saurav;OSGeo - Open Source Geospatial Foundation;https://www.osgeo.org/
939;Develop a prototype MT system for a strategic language pair uzb->kaa;Azamat Akimniyazov;Apertium;http://wiki.apertium.org
940;Add monitoring of pg_stat_statements to pg_systat;Jianhui Lu;PostgreSQL;https://www.postgresql.org
941;SMART-on-FHIR;Ankit kumar;OpenMRS;https://openmrs.org
942;Add ttl for cassandra snapshots;fibersel;The Apache Software Foundation;https://www.apache.org
943;Lua-Casbin;Rushikesh Tote;Casbin;https://casbin.org/
944;Parallelization of existing modules for GRASS GIS;Aaron Saw Min Sern;OSGeo - Open Source Geospatial Foundation;https://www.osgeo.org/
945;Sugarizer Security and Availability;Jaikishan Brijwani;Sugar Labs;http://sugarlabs.org/
946;Integration of CircuitVerse with LMS Platforms;AYAN BISWAS;CircuitVerse.org;https://circuitverse.org/
947;Display simulation data for rigid bodies and cloth;Soumya;Blender Foundation;http://www.blender.org
948;Integrate custom derivatives of Numerical Computing routines like BLAS and Eigen into Enzyme;Pratyush Das;The LLVM Compiler Infrastructure;http://llvm.org
949;Measure the Quality of CerebUnit Validation Tests;Harsh Khilawala;INCF;http://incf.org
950;Input/Out Workflows for Active Segmentation Platform;Piyumal Demotte;INCF;http://incf.org
951;Collective Operations over multiple layers/groups in Krita;Santhosh Anguluri;KDE Community;https://www.kde.org
952;Improve Tree Ensemble Support;Rishabh Garg;mlpack;https://www.mlpack.org/
953;Adding a Redis cache backend to Django's core module;Daniyal Abbasi;Django Software Foundation;https://www.djangoproject.com/
954;Agora-Web;Ayush Tiwari;AOSSIE;https://aossie.gitlab.io/
955;Use official isl C++ bindings for polly;Riccardo Mori;The LLVM Compiler Infrastructure;http://llvm.org
956;Hydra - Hybrid Fuzzing with LibAFL;Julius Hohnerlein;AFLplusplus;https://aflplus.plus
957;re2r back on CRAN;Mark Nawar;The R Project for Statistical Computing;https://www.r-project.org/
958;DFFML: Support Archive Storage for  Models;Saahil;Python Software Foundation;https://www.python.org/
959;VRP functionality with VROOM on the database for pgRouting;Ashish-Kumar;OSGeo - Open Source Geospatial Foundation;https://www.osgeo.org/
960;Proposal for Monumento;Suryansh Singh Tomar;AOSSIE;https://aossie.gitlab.io/
961;Sound mixer improvements;Christos Margiolis;FreeBSD Project;https://www.freebsd.org/
962;AR Draw + Measure experience in MapMint4me;Sourav singh;OSGeo - Open Source Geospatial Foundation;https://www.osgeo.org/
963;Improve fast scene detection modes proposal;Aleksandr Gushchin;Xiph.Org Foundation;https://xiph.org
964;Proposal for GSoC 2021 IIO Driver: ADXL313;Lucas Stankus;The Linux Foundation;http://www.linuxfoundation.org/
965;Micropython for BeagleConnect Freedom;Yadnik Bendale;BeagleBoard.org Foundation;https://beagleboard.org
966;Add vectorization to par_unseq implementations of Parallel Algorithms;Srinivas Yadav;STE||AR Group;http://stellar-group.org/
967;Digital Library Management;daksh;Cuneiform Digital Library Initiative (CDLI);https://cdli.ucla.edu
968;Multi-level TLB support for Ariane;Nazerke Turtayeva;Free and Open Source Silicon Foundation;https://www.fossi-foundation.org
969;Testing Dashboard;Akhil Jha;PEcAn Project;http://pecanproject.github.io/
970;Dark Web Exploration (for Cyber Threat Analysis) And Expansion of Data Sources;Kaushik Sivashankar;OWASP Foundation;https://owasp.org
971;Geographic Features Refinement;Barun;Public Lab;https://publiclab.org
972;Multistream support in GStreamer element;Vedant Paranjape;libcamera;https://libcamera.org
973;General Improvements in hydrus;Hasan Faraz Khan;Hydra Ecosystem;https://www.hydraecosystem.org/
974;Create nuget package for OpenCV and OpenCV contrib;Aditya Mulgundkar;OpenCV;https://opencv.org
975;Work on making Zulip better for large, high traffic organizations.;Abhijeet Bodas;Zulip;https://zulip.com
976;View-Only Mode in GRC;Oscar Ekholm;GNU Radio;https://www.gnuradio.org/
977;Improve pure Elm markdown parser;Jinyi;Elm Tooling;https://github.com/elm-tooling?type=source
978;Expand Events Detection;Yash Gondhalekar;Libre Space Foundation;https://libre.space
979;Element History Widget;Zohaib Ansari;OpenStreetMap;http://www.openstreetmap.org/
980;Automating Puppeteer’s Documentation - Tasneem Koushar;Tasneem Koushar;Chromium;https://www.chromium.org/
981;Quality Check and Assurance;Harshit Sharma;Polypheny;https://polypheny.org
982;vhost-user-scsi device in Rust;Gaelan Steele;QEMU;https://qemu.org/
983;Add io_uring support;Kumar Kartikeya Dwivedi;CRIU;https://criu.org
984;Improving support for compute shaders in spirv-fuzz;Mostafa Ashraf Mohamed;Android Graphics Tools Team;https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2021.md
985;Graph Neural Networks for End-to-End Particle Identification with the CMS Experiment;Shravan Chaudhari;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
986;Internationalization of CircuitVerse Platforms;Pavan Joshi;CircuitVerse.org;https://circuitverse.org/
987;Object Centric Data Storage PDC_Ceph Rados Integration;Mishal Singhai;Center for Research in Open Source Software, UC Santa Cruz;http://cross.ucsc.edu
988;Music Transformer;Vasanth Mani Vasi;The Julia Language;https://julialang.org
989;TensorFlow Implementation of Distribution Aware Coordinate Representation for Human Pose Estimation;Chandykunju Alex;TensorFlow;https://www.tensorflow.org/
990;Visualization Libraries for ghc-debug;Ethan Tsz Hang Kiang;Haskell.org;http://haskell.org
991;Develop in-toto-rs (Rust) for integration with rebuilderd;Qijia “Joy” Liu;CNCF;http://cncf.io
992;Lazy Formal Power Series;Tejasvi Chebrolu;SageMath;https://www.sagemath.org/
993;PD to AF conversion facility in Newt;Can Alpay;National Resource for Network Biology (NRNB);https://nrnb.org/gsoc.html
994;Agora Android;Divyank Lunkad;AOSSIE;https://aossie.gitlab.io/
995;Updation of the Json Schema to latest version (2020-12)/draft7 along with the form generation and validation with the updated schema of the tools;sh15h4nk;freifunk;https://freifunk.net
996;Shaka Streamer Enhancements;Omer Yacine;Shaka Player;https://opensource.google/projects/shaka-player
997;GSoC Proposal 2021: Tag/Topic System Refinements;Sushmita;Public Lab;https://publiclab.org
998;Add autocompletion to Page Forms spreadsheet-style display;Yash Varshney;Wikimedia Foundation;http://wikimediafoundation.org/
999;Better Voxel Filter;Tin Chon Chan;Point Cloud Library;https://pointclouds.org/
1000;Implementing a DAP backend for debugging Godot projects;Ricardo Subtil;Godot Engine;https://godotengine.org
1001;Improving TARDIS Simulation Logging Framework;Dhruv Sondhi;TARDIS SN;https://tardis-sn.github.io/tardis/
1002;Gesture temporal detection pipeline for news videos;Yunfei Zhao;Red Hen Lab;http://redhenlab.org
1003;Sign Language Recognition;Trung Ngo Tan;RoboComp;https://robocomp.org
1004;Syzkaller improvements;Simran Kathpalia;FreeBSD Project;https://www.freebsd.org/
1005;OONI: Developing Unit, Integration and E2E tests for Probe Desktop apps;Shivam Pathak;Digital Impact Alliance (DIAL) at UN Foundation;https://www.digitalimpactalliance.org/
1006;Achievement in RetroPlayer;Shardul Semwal;Kodi;https://kodi.tv/
1007;Real-Time Collaboration on a Note;Akash Konda;Joplin;https://joplinapp.org/
1008;Convergence Criteria;Satyam Kumar;MBDyn;http://www.mbdyn.org
1009;mne-python: Enhancing Performance of Signal Browsing using PyQt;Martin Schulz;Python Software Foundation;https://www.python.org/
1010;Unified Color UI;Anuj Singhal;MIT App Inventor;http://appinventor.mit.edu
1011;Classes and Methods for Spatial Data;Laurine Dargaud;Pharo Consortium;https://pharo.org/
1012;Create new user interface widget;Antriksh Misri;Python Software Foundation;https://www.python.org/
1013;Python bindings for TACO compiler;Sayandip Halder;Python Software Foundation;https://www.python.org/
1014;Adding Tibetan Calendar in Unicode Common Locale Data Repository (CLDR) and International Components for Unicode (ICU) library;Ashish Patel;Project WikiLoop;https://meta.wikimedia.org/wiki/WikiLoop
1015;Automatically identify Contributor Aliases;Anuj Lamoria;CHAOSS Project;https://chaoss.community
1016;Proposal for cloudstack: cloning a VM;Junxuan Wu;The Apache Software Foundation;https://www.apache.org
1017;Automatic differentiation in density-functional theory;Niklas Schmitz;The Julia Language;https://julialang.org
1018;NetworkX - Louvain Community Detection Algorithm;Dimitris Papageorgiou;NumFOCUS;http://numfocus.org/
1019;General Improvements;EXTREMOPHILARUM;OWASP Foundation;https://owasp.org
1020;[Incubator-Nemo] Accurate Task Execution Simulator for Distributed Data Processing;Hae Dong Lee;The Apache Software Foundation;https://www.apache.org
1021;Generating Syscall Decoders from Declarative Definitions;Srikavin Ramkumar;strace;https://strace.io
1022;Logging Pipeline Plumber for Rancher;Isala Piyarisi;openSUSE Project;https://www.opensuse.org/
1023;Blender Knife Tool Improvements;Cian Jinks;Blender Foundation;http://www.blender.org
1024;HAPI Struct <> Proto Conversion Tool;Aditya Kurkure;Google FHIR SDK;https://github.com/google/android-fhir
1025;Behavior Metrics and Deep Learning Studio: Developing and Deploying Deep and Reinforcement Learning for Multiple-Robots;Utkarsh A. Mishra;JdeRobot - Universidad Rey Juan Carlos;https://jderobot.github.io/
1026;Replacing the core library of Quark-Engine;Sheng-Feng;The Honeynet Project;https://honeynet.org
1027;Revamp mlpack bindings;Nippun Sharma;mlpack;https://www.mlpack.org/
1028;Adding more functionality to AnalySim: a data sharing and analysis platform;Nga Tran;INCF;http://incf.org
1029;Make mitmweb’s UI rich and easy to use;Toshiaki Tanaka;The Honeynet Project;https://honeynet.org
1030;Adaptive Load Control and Distributed Load Testing of Envoy Data Planes;Dhruv P;CNCF;http://cncf.io
1031;p5.js 2021 Showcase: The Love Ethic;Katie Chan;Processing Foundation;http://processingfoundation.org
1032;Circuitpython busio compatibility layer for pslab-python;srnaveen2k;Digital Impact Alliance (DIAL) at UN Foundation;https://www.digitalimpactalliance.org/
1033;Integrating XFSTESTS with KDE KIO-FUSE;Bhumit Attarde;KDE Community;https://www.kde.org
1034;Wagtail Live;Tidiane;Django Software Foundation;https://www.djangoproject.com/
1035;Building a Working Prototype of the AutSPACEs website;Anoushka Ramesh;INCF;http://incf.org
1036;SMI Support for Multi-Cluster Operations;Piyush Singariya;CNCF;http://cncf.io
1037;VirtIO-blk implementation with AGL on Jailhouse;Anmol .;The Linux Foundation;http://www.linuxfoundation.org/
1038;Integrating a module to 3d scan a house within the MapMint4ME android application.;ayoubft;OSGeo - Open Source Geospatial Foundation;https://www.osgeo.org/
1039;Incremental Improvements to Debian’s CI platform;Pavit Kaur;Debian;https://www.debian.org
1040;Proposals for file transfer improvement and more;Yongha Hwang;Xfce;https://xfce.org/
1041;Upgrading the Ganga Graphical User Interface;Gurudatta Patil;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
1042;Competing destination for Spatial Interaction models, SpInt/PySal;Lenka Hasova;NumFOCUS;http://numfocus.org/
1043;Supporting Arrays and Allocatables in LFortran;Gagandeep Singh;NumFOCUS;http://numfocus.org/
1044;Develop a Shared Data Resource Focused on Dependencies, Risks and Vulnerabilities in Open Source Software;Dhruv Sachdev;CHAOSS Project;https://chaoss.community
1045;Authentication and Authorization Service for the Alliance of Genome Resources;Aoji Xie;Open Genome Informatics;http://gmod.org/wiki/GSoC
1046;Modern Statistical Modeling in Stingray;Rashmi Raj;openastronomy;http://www.OpenAstronomy.org
1047;Visualization Of Systems-Level Gene Annotation  (UI-Side);Lokesh Rana;Open Genome Informatics;http://gmod.org/wiki/GSoC
1048;Port of AGM from Python 2 to Python 3;Fernando Martin;RoboComp;https://robocomp.org
1049;Android Support for ENIGMA;Abhishek Kumar Jha;The ENIGMA Team;https://enigma-dev.org
1050;OpenEBS: Update mount-points and capacity of Block Devices without restarting NDM;Z0marlin;CNCF;http://cncf.io
1051;Implement JointsMethod;Sudeep Sidhu;SymPy;http://sympy.org
1052;M-extension support for SERV;Zeeshan Rafique;Free and Open Source Silicon Foundation;https://www.fossi-foundation.org
1053;Implement feature flags & platform parameters;Arjun Gupta;Oppia Foundation;https://github.com/oppia/oppia
1054;Accuracy and parallel computation in parton density calculation;Tushar Jain-2;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
1055;PySal: Open Source Facility Location Modeling (spopt) Development;Germano dos Santos;NumFOCUS;http://numfocus.org/
1056;Exporting Conversations From Element;Jaiwanth Vemula;Matrix.org;https://matrix.org/
1057;Writing SAST Vulnerability Rules;Anshuman Singh-1;GitLab;https://gitlab.com
1058;COLOUR: Adding new colour models;Geetansh Saxena;NumFOCUS;http://numfocus.org/
1059;EOS: Improving Adobe XD, Figma Plugin and Creating Angular Library;Abhirup Pal;Python Software Foundation;https://www.python.org/
1060;Data streaming in scientific workflows, implementation for Toil;Mihai Popescu;Open Bioinformatics Foundation;http://open-bio.org
1061;WebAssembly loader;Jeppe Blomgren;MetaCall;https://github.com/metacall
1062;Verbs to Gio::Actions;SUSHANT A.A.;Inkscape;https://inkscape.org
1063;USING BALANCED_READS ON RGW CALLS TO RADOS;Zulai Wang;Ceph;https://ceph.io
1064;Improve suggestion and full-text search features in Kiwix;Maneesh P M;Kiwix;https://www.kiwix.org
1065;Loop closure algorithm based on HF-Net+BoW for depth fusion;Zihao Mu;OpenCV;https://opencv.org
1066;Gamified Knowledge Base Completion Plugin for Wikibase/Wikidata;Dhairya Khanna;Wikimedia Foundation;http://wikimediafoundation.org/
1067;Implementing Advanced Variational Gaussian Process Models;Ross Viljoen;The Julia Language;https://julialang.org
1068;Support for Particle Physics in Catrobat;Dev Sebastian;International Catrobat Association;https://www.catrobat.org
1069;Room Database Integration;Nur El-Din El-Rez;International Catrobat Association;https://www.catrobat.org
1070;Create common backend for PSLab Desktop and Android app;Kartikay Sharma;Digital Impact Alliance (DIAL) at UN Foundation;https://www.digitalimpactalliance.org/
1071;Extend RFC-7427 Signature Authentication Support To IKEv2 With EDDSA Support;Rishabh Kumar;The Libreswan Project;https://libreswan.org/
1072;Create and Enhance APIs related to Education Platform;Devesh Kumar;JBoss Community;http://www.jboss.org/
1073;Cross compiling “Shapeless 2” to “Scala 3”;Katrix;Scala Center;http://scala.epfl.ch
1074;Website Updates;Eshan;PEcAn Project;http://pecanproject.github.io/
1075;3D samples using OpenGL and GLFW;Dmitrii Klepikov;OpenCV;https://opencv.org
1076;Design tooling: port to gtk 4;Maximiliano Sandoval;GNOME Foundation;https://gnome.org
1077;RIoTPot - Honeypot for IOT/OT devices;Abhimanyu Rawat;The Honeynet Project;https://honeynet.org
1078;Kanban Board Plugin for Joplin;mablin;Joplin;https://joplinapp.org/
1079;Use ref-filter formats in git cat-file;ZheNing Hu;Git;http://git-scm.com
1080;Implementing a multiscalar segregation metric | PySAL;Noah Bouchier;NumFOCUS;http://numfocus.org/
1081;Integrate Spoke Peer-to-Peer Texting;Asha Sulaiman;CiviCRM LLC;https://civicrm.org
1082;LIDAR visualization application on AGL using ROS2;boron;The Linux Foundation;http://www.linuxfoundation.org/
1083;Integrate VirtualCodebase with Deltacode;Pratik Dey;AboutCode;https://www.aboutcode.org
1084;Implement UNDO and transactional changes;Vikram Atreyapurapu;BRL-CAD;https://opencax.github.io
1085;Monumento iOS application;Aaryan Kothari;AOSSIE;https://aossie.gitlab.io/
1086;Poll App Mega Extensions;Rohan Lekhwani;Rocket.Chat;https://github.com/RocketChat/Rocket.Chat
1087;DefectDojo Modern UI;Aniket Bhat;OWASP Foundation;https://owasp.org
1088;Chatbot for AsyncAPI Creators Project Proposal;Wahab Oguntade;Postman;https://www.postman.com/
1089;Test driver API coverage;Luke Yue;libvirt;https://libvirt.org
1090;CUPS Filters: Converting Filters to Filter Functions;Pratyush Ranjan;The Linux Foundation;http://www.linuxfoundation.org/
